image_id,tooth_fdi,gt_crop_path,yolo_crop_path,mask_iou,fdi_confidence,accept,reason
ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807,11,identification/data/crops_gt/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/11_raw.png,identification/data/crops_yolo/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/11_raw.png,0.8021176372504064,0.9232122898101807,True,ok
ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807,12,identification/data/crops_gt/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/12_raw.png,identification/data/crops_yolo/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/12_raw.png,0.63258001840679,0.8930795788764954,True,ok
ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807,13,identification/data/crops_gt/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/13_raw.png,identification/data/crops_yolo/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/13_raw.png,0.6270486514388953,0.9047817587852478,True,ok
ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807,14,identification/data/crops_gt/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/14_raw.png,identification/data/crops_yolo/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/14_raw.png,0.524787137485413,0.9236208200454712,True,ok
ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807,15,identification/data/crops_gt/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/15_raw.png,identification/data/crops_yolo/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/15_raw.png,0.7202962104914777,0.9196759462356567,True,ok
ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807,16,identification/data/crops_gt/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/16_raw.png,identification/data/crops_yolo/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/16_raw.png,0.6105857083319975,0.9065906405448914,True,ok
ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807,17,identification/data/crops_gt/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/17_raw.png,identification/data/crops_yolo/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/17_raw.png,0.758510158013544,0.9098666310310364,True,ok
ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807,18,identification/data/crops_gt/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/18_raw.png,identification/data/crops_yolo/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/18_raw.png,0.7125456760048721,0.9162313342094421,True,ok
ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807,21,identification/data/crops_gt/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/21_raw.png,identification/data/crops_yolo/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/21_raw.png,0.670082479380155,0.91750168800354,True,ok
ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807,22,identification/data/crops_gt/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/22_raw.png,identification/data/crops_yolo/ImageFile_00288b7f-ef32-4cf6-ab87-30cdcdd5ca05_000147807/22_raw.png,0.6719846542528305,0.9216997623443604,True,ok
